控件分类,英文缩写,英文全称,,资产词典,英文缩写,英文全称
图片,Img,Image,,补充项,Supplement,
特效,FX,Effects,,装饰,Dec,Decoration
按钮,Btn,Button,,背景,BG,Background
文字,Txt,Text,,前景,FG,Foreground
容器,Con,Container,,图标,Icon,Icon
